"YEAR","Topic","Subtopic","ShortQuestionText","Greater_Risk_Question","Description","Greater_Risk_Data_Value","Greater_Risk_Low_Confidence_Limit","Greater_Risk_High_Confidence_Limit","Lesser_Risk_Question","Lesser_Risk_Data_Value","Lesser_Risk_Low_Confidence_Limit","Lesser_Risk_High_Confidence_Limit","Sample_Size","Sex","Race","Grade","GeoLocation","TopicId","SubTopicID","QuestionCode","LocationId","StratificationType","State"
2005,"Dietary Behaviors","Vegetables","No vegetable eating","Did not eat vegetables","green salad, potatoes (excluding French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",3.6,2.43,5.34,"Ate vegetables",96.4,94.66,97.57,544,"Total","White","Total","(39.29058096400047, -76.60926011099963)","DBH01","VEG01","QNVEG0","24","State","Maryland"
2013,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Safety concerns at school","Did not go to school because they felt unsafe at school or on their way to or from school","on at least 1 day during the 30 days before the survey",4.4,2.81,6.71,"N/A",95.6,93.29,97.19,524,"Total","Total","10th","(43.682630005000476, -114.3637300419997)","UIV01","VIO01","H16","16","State","Idaho"
2015,"Alcohol and Other Drug Use","Alcohol Use","Initiation of alcohol use","Drank alcohol before age 13 years","for the first time other than a few sips",19.5,15.87,23.84,"Did not drink alcohol before age 13 years",80.5,76.16,84.13,492,"Male","White","Total","(38.635790776000476, -92.56630005299968)","AOD01","ALC01","H42","29","State","Missouri"
2007,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Physical fighting at school","Were in a physical fight on school property","one or more times during the 12 months before the survey",8.8,5.59,13.49,"Were not in a physical fight on school property",91.2,86.51,94.41,200,"Female","White","11th","(38.66551020200046, -80.71264013499967)","UIV01","VIO01","H20","54","State","West Virginia"
1999,"Tobacco Use","Other Tobacco Use","Current cigar use","Currently smoked cigars","cigars, cigarillos, or little cigars on at least 1 day during the 30 days before the survey",22.3,17.32,28.17,"Did not currently smoke cigars",77.7,71.83,82.68,238,"Male","Total","9th","(43.23554134300048, -108.10983035299967)","TUS01","OTU01","H38","56","State","Wyoming"
2009,"Dietary Behaviors","Vegetables","Vegetable eating >=3 times","N/A","green salad, potatoes (excluding French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",88.4,82.72,92.45,"Ate vegetables three or more times per day",11.6,7.55,17.28,386,"Female","Total","11th","(44.6613195430005, -84.71439026999968)","DBH01","VEG01","QNVEG3","26","State","Michigan"
2003,"Tobacco Use","Other Tobacco Use","Current cigarette or cigar use","Currently smoked cigarettes or cigars","on at least 1 day during the 30 days before the survey",32.3,25.85,39.47,"N/A",67.7,60.53,74.15,261,"Total","Total","12th","(35.47203135600046, -97.52107021399968)","TUS01","OTU01","QNTOB2","40","State","Oklahoma"
2009,"Dietary Behaviors","Fruit and fruit juices","Fruit consumption >= 1 time","N/A","during the 7 days before the survey",38.4,34,43.01,"Ate fruit or drank 100% fruit juices one or more times per day",61.6,56.99,66,1604,"Female","Total","Total","(44.6613195430005, -84.71439026999968)","DBH01","FFJ01","QNFR1","26","State","Michigan"
2005,"Tobacco Use","Cigarette Use","Ever cigarette use","Ever tried cigarette smoking","even one or two puffs",62.4,52.11,71.6,"Never tried cigarette smoking",37.6,28.4,47.89,146,"Male","Black or African American","Total","(35.68094058000048, -85.77449091399967)","TUS01","CIG01","H31","47","State","Tennessee"
2003,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Seat belt use","Never or rarely wore a seat belt","when riding in a car driven by someone else",11.4,7.86,16.38,"Sometimes, most of the time, or always wore a seat belt",88.6,83.62,92.14,488,"Female","Total","10th","(42.27687047000046, -72.08269067499964)","UIV01","UIN01","H9","25","State","Massachusetts"
2015,"Other Health Topics","Oral Health Care","Oral health care","Did not see a dentist","for a check-up, exam, teeth cleaning, or other dental work during the 12 months before the survey",17.7,14.18,21.78,"Saw a dentist",82.3,78.22,85.82,830,"Male","White","Total","(41.70828019300046, -71.52247031399963)","OHT01","OHC01","H86","44","State","Rhode Island"
2009,"Obesity, Overweight, and Weight Control","Obesity and Overweight","Obesity","Had obesity",">= 95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts",9.2,5.38,15.25,"N/A",90.8,84.75,94.62,171,"Female","Total","10th","(35.47203135600046, -97.52107021399968)","OOW01","OOW01","QNOBESE","40","State","Oklahoma"
1997,"Sexual Behaviors","Sexual Behaviors","Alcohol/drugs and sex","Drank alcohol or used drugs","before last sexual intercourse, among students who were currently sexually active",22.6,16.84,29.69,"Did not drink alcohol or use drugs",77.4,70.31,83.16,219,"Female","White","Total","(41.56266102000046, -72.64984095199964)","SBH01","SXB01","H64","09","State","Connecticut"
2013,"Tobacco Use","Cigarette Use","Frequent cigarette use","Currently smoked cigarettes frequently","on 20 or more days during the 30 days before the survey",0,0,0,"Did not currently smoke cigarettes frequently",100,100,100,503,"Total","Total","9th","(39.360700171000474, -111.58713063499971)","TUS01","CIG01","QNFRCIG","49","State","Utah"
2003,"Alcohol and Other Drug Use","Other Drug Use","Ever heroin use","Ever used heroin","also called ""smack,"" ""junk,"" or ""China white,"" one or more times during their life",3,1.37,6.51,"Never used heroin",97,93.49,98.63,539,"Male","Asian","Total","(42.82700103200045, -75.54397042699964)","AOD01","ODU01","H52","36","State","New York"
2013,"Alcohol and Other Drug Use","Other Drug Use","Ever cocaine use","Ever used cocaine","any form of cocaine, such as powder, crack, or freebase, one or more times during their life",3.5,2.6,4.6,"Never used cocaine",96.5,95.4,97.4,430,"Total","White","10th","(41.56266102000046, -72.64984095199964)","AOD01","ODU01","H50","09","State","Connecticut"
2011,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Bullying at school","Were bullied on school property","during the 12 months before the survey",12.7,8.04,19.43,"Were not bullied on school property",87.3,80.57,91.96,311,"Total","Native Hawaiian or Other Pacific Islander","12th","(21.304850435000446, -157.85774940299973)","UIV01","VIO01","H24","15","State","Hawaii"
2005,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Attempted suicide","Attempted suicide","one or more times during the 12 months before the survey",21.1,10.92,36.93,"Did not attempt suicide",78.9,63.07,89.08,185,"Total","Black or African American","Total","(34.52088095200048, -106.24058098499967)","UIV01","SRB01","H29","35","State","New Mexico"
2015,"Dietary Behaviors","Fruit and fruit juices","Fruit consumption >= 3 times","N/A","during the 7 days before the survey",78.9,73.29,83.57,"Ate fruit or drank 100% fruit juices three or more times per day",21.1,16.43,26.71,225,"Total","Hispanic or Latino","10th","(41.70828019300046, -71.52247031399963)","DBH01","FFJ01","QNFR3","44","State","Rhode Island"
2013,"Tobacco Use","Other Tobacco Use","Current cigarette, cigar, or smokeless tobacco use","Currently used cigarettes, cigars, or smokeless tobacco","on at least 1 day during the 30 days before the survey",11.9,7.59,18.07,"N/A",88.1,81.93,92.41,159,"Total","White","9th","(64.84507995700051, -147.72205903599973)","TUS01","OTU01","QNTOB3","02","State","Alaska"
2015,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Electronic bullying","Were electronically bullied","counting being bullied through e-mail, chat rooms, instant messaging, Web sites, or texting during the 12 months before the survey",17.2,7.07,36.17,"Were not electronically bullied",82.8,63.83,92.93,272,"Male","Black or African American","11th","(42.82700103200045, -75.54397042699964)","UIV01","VIO01","H25","36","State","New York"
1999,"Alcohol and Other Drug Use","Other Drug Use","Ever heroin use","Ever used heroin","also called ""smack,"" ""junk,"" or ""China white,"" one or more times during their life",7.3,3.98,13.1,"Never used heroin",92.7,86.9,96.02,243,"Male","Total","10th","(34.74865012400045, -92.27449074299966)","AOD01","ODU01","H52","05","State","Arkansas"
2009,"Tobacco Use","Cigarette Use","Initiation of cigarette use","Smoked a whole cigarette before age 13 years","for the first time",4.3,1.85,9.69,"Did not smoke a whole cigarette before age 13 years",95.7,90.31,98.15,274,"Total","White","11th","(39.360700171000474, -111.58713063499971)","TUS01","CIG01","H32","49","State","Utah"
2001,"Dietary Behaviors","Fruit and fruit juices","Fruit consumption >= 1 time","N/A","during the 7 days before the survey",40.4,33.96,47.11,"Ate fruit or drank 100% fruit juices one or more times per day",59.6,52.89,66.04,172,"Female","Total","12th","(47.47531977900047, -100.11842104899966)","DBH01","FFJ01","QNFR1","38","State","North Dakota"
2009,"Tobacco Use","Cigarette Use","Current cigarette use","Currently smoked cigarettes","on at least 1 day during the 30 days before the survey",33.4,23.42,45.04,"Did not currently smoke cigarettes",66.6,54.96,76.58,131,"Male","Total","12th","(32.84057112200048, -86.63186076199969)","TUS01","CIG01","H33","01","State","Alabama"
2007,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Threatened at school","Were threatened or injured with a weapon on school property","such as, a gun, knife, or club, one or more times during the 12 months before the survey",4.4,3.2,6.1,"Were not threatened or injured with a weapon on school property",95.6,93.9,96.8,1278,"Total","White","11th","(43.62538123900049, -72.51764079099962)","UIV01","VIO01","H17","50","State","Vermont"
2011,"Sexual Behaviors","Sexual Behaviors","No birth control use","Did not use any method to prevent pregnancy","during last sexual intercourse, among students who were currently sexually active",10.9,8.99,13.22,"N/A",89.1,86.78,91.01,676,"Total","Total","Total","(32.745510099000455, -89.53803082499968)","SBH01","SXB01","QNBCNONE","28","State","Mississippi"
2003,"Alcohol and Other Drug Use","Other Drug Use","Ever steroid use","Ever took steroids without a doctor's prescription","pills or shots, one or more times during their life",5.7,2.5,12.42,"Never took steroids without a doctor's prescription",94.3,87.58,97.5,121,"Female","White","10th","(32.83968109300048, -83.62758034599966)","AOD01","ODU01","H56","13","State","Georgia"
2013,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Texting and driving","Texted or e-mailed while driving a car or other vehicle","on at least 1 day during the 30 days before the survey, among students who had driven a car or other vehicle during the 30 days before the survey",42.4,34.92,50.21,"Did not text or e-mail while driving a car or other vehicle",57.6,49.79,65.08,501,"Female","Total","Total","(32.745510099000455, -89.53803082499968)","UIV01","UIN01","H12","28","State","Mississippi"
2013,"Other Health Topics","Asthma","Asthma","Had ever been told by a doctor or nurse that they had asthma",,20,15.56,25.4,"Had never been told by a doctor or nurse that they had asthma",80,74.6,84.44,199,"Total","Black or African American","Total","(41.70828019300046, -71.52247031399963)","OHT01","ASM01","H87","44","State","Rhode Island"
1991,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Injurious suicide attempt","Attempted suicide that resulted in an injury, poisoning, or overdose that had to be treated by a doctor or nurse","during the 12 months before the survey",2.9,1.23,6.88,"Did not attempt suicide that resulted in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",97.1,93.12,98.77,128,"Male","American Indian or Alaska Native","10th","(34.52088095200048, -106.24058098499967)","UIV01","SRB01","H30","35","State","New Mexico"
1999,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Injurious suicide attempt","Attempted suicide that resulted in an injury, poisoning, or overdose that had to be treated by a doctor or nurse","during the 12 months before the survey",4,2.17,7.37,"Did not attempt suicide that resulted in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",96,92.63,97.83,271,"Female","Total","10th","(40.06021014100048, -82.40426005599966)","UIV01","SRB01","H30","39","State","Ohio"
2013,"Dietary Behaviors","Milk","Milk drinking >= 1 glass","N/A","during the 7 days before the survey",76.8,65.56,85.25,"Drank one or more glasses per day of milk",23.2,14.75,34.44,149,"Female","Black or African American","10th","(37.54268067400045, -78.45789046299967)","DBH01","MLK01","QNMILK1","51","State","Virginia"
2005,"Alcohol and Other Drug Use","Other Drug Use","Illegal drugs at school","Were offered, sold, or given an illegal drug on school property","during the 12 months before the survey",23.8,17.36,31.67,"Were not offered, sold, or given an illegal drug on school property",76.2,68.33,82.64,232,"Male","White","11th","(44.39319117400049, -89.81637074199966)","AOD01","ODU01","H59","55","State","Wisconsin"
2007,"Alcohol and Other Drug Use","Other Drug Use","Ever ecstasy use","Ever used ecstasy","also called ""MDMA,"" one or more times during their life",7.1,4.07,12.02,"Never used ecstasy",92.9,87.98,95.93,356,"Total","Total","10th","(32.745510099000455, -89.53803082499968)","AOD01","ODU01","H54","28","State","Mississippi"
2013,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Suicide consideration","Seriously considered attempting suicide","during the 12 months before the survey",25.6,18.15,34.89,"Did not seriously consider attempting suicide",74.4,65.11,81.85,134,"Total","Native Hawaiian or Other Pacific Islander","10th","(39.29058096400047, -76.60926011099963)","UIV01","SRB01","H27","24","State","Maryland"
2009,"Alcohol and Other Drug Use","Other Drug Use","Ever heroin use","Ever used heroin","also called ""smack,"" ""junk,"" or ""China white,"" one or more times during their life",2.2,0.72,6.44,"Never used heroin",97.8,93.56,99.28,752,"Female","Total","10th","(35.466220975000454, -79.15925046299964)","AOD01","ODU01","H52","37","State","North Carolina"
2007,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Safety concerns at school","Did not go to school because they felt unsafe at school or on their way to or from school","on at least 1 day during the 30 days before the survey",8.5,5.61,12.62,"N/A",91.5,87.38,94.39,212,"Male","Hispanic or Latino","Total","(41.70828019300046, -71.52247031399963)","UIV01","VIO01","H16","44","State","Rhode Island"
2015,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Bicycle helmet use","Never or rarely wore a bicycle helmet","among students who had ridden a bicycle during the 12 months before the survey",93.2,85.02,97.04,"Sometimes, most of the time, or always wore a bicycle helmet",6.8,2.96,14.98,275,"Female","Hispanic or Latino","Total","(35.466220975000454, -79.15925046299964)","UIV01","UIN01","H8","37","State","North Carolina"
1993,"Alcohol and Other Drug Use","Alcohol Use","Initiation of alcohol use","Drank alcohol before age 13 years","for the first time other than a few sips",39.4,35.32,43.64,"Did not drink alcohol before age 13 years",60.6,56.36,64.68,566,"Total","White","9th","(35.68094058000048, -85.77449091399967)","AOD01","ALC01","H42","47","State","Tennessee"
2013,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Weapon carrying at school","Carried a weapon on school property","such as, a gun, knife, or club, on at least 1 day during the 30 days before the survey",18.5,10.6,30.18,"Did not carry a weapon on school property",81.5,69.82,89.4,129,"Total","American Indian or Alaska Native","Total","(43.62538123900049, -72.51764079099962)","UIV01","VIO01","H15","50","State","Vermont"
2015,"Tobacco Use","Cigarette Use","Current cigarette use","Currently smoked cigarettes","on at least 1 day during the 30 days before the survey",14.2,8.96,21.81,"Did not currently smoke cigarettes",85.8,78.19,91.04,177,"Female","Multiple Race","Total","(45.254228894000505, -68.98503133599962)","TUS01","CIG01","H33","23","State","Maine"
2009,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Physical fighting","Were in a physical fight","one or more times during the 12 months before the survey",39.5,31.22,48.45,"Were not in a physical fight",60.5,51.55,68.78,169,"Female","Black or African American","9th","(40.48501028300046, -88.99771017799969)","UIV01","VIO01","H18","17","State","Illinois"
2005,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Riding with a drinking driver","Rode with a driver who had been drinking alcohol","in a car or other vehicle one or more times during the 30 days before the survey",15.4,8.19,27.07,"Did not ride with a driver who had been drinking alcohol",84.6,72.93,91.81,160,"Male","Total","11th","(39.360700171000474, -111.58713063499971)","UIV01","UIN01","H10","49","State","Utah"
2013,"Tobacco Use","Cigarette Use","Current cigarette use","Currently smoked cigarettes","on at least 1 day during the 30 days before the survey",6.8,5.09,8.94,"Did not currently smoke cigarettes",93.2,91.06,94.91,569,"Total","Black or African American","Total","(39.008830667000495, -75.57774116799965)","TUS01","CIG01","H33","10","State","Delaware"
2009,"Dietary Behaviors","Vegetables","Vegetable eating >=1 time","N/A","green salad, potatoes (excluding French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",56.9,48.42,64.99,"Ate vegetables one or more times per day",43.1,35.01,51.58,268,"Total","Total","9th","(31.31266064400046, -92.44568007099969)","DBH01","VEG01","QNVEG1","22","State","Louisiana"
2005,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Forced sexual intercourse","Were ever physically forced to have sexual intercourse","when they did not want to",8.3,4.24,15.44,"Were never physically forced to have sexual intercourse",91.7,84.56,95.76,292,"Female","White","11th","(35.466220975000454, -79.15925046299964)","UIV01","VIO01","H21","37","State","North Carolina"
2009,"Physical Activity","Physical Activity","Television watching","Watched 3 or more hours per day of television","on an average school day",28.1,22.49,34.57,"Did not watch 3 or more hours per day of television",71.9,65.43,77.51,214,"Female","Total","10th","(38.66551020200046, -80.71264013499967)","PHA01","PAC01","H81","54","State","West Virginia"
2013,"Dietary Behaviors","Milk","Milk drinking >= 2 glasses","N/A","during the 7 days before the survey",59.6,51.62,67.19,"Drank two or more glasses per day of milk",40.4,32.81,48.38,254,"Total","White","12th","(39.360700171000474, -111.58713063499971)","DBH01","MLK01","QNMILK2","49","State","Utah"
2013,"Alcohol and Other Drug Use","Other Drug Use","Ever ecstasy use","Ever used ecstasy","also called ""MDMA,"" one or more times during their life",2.6,0.81,7.79,"Never used ecstasy",97.4,92.21,99.19,220,"Female","Native Hawaiian or Other Pacific Islander","9th","(21.304850435000446, -157.85774940299973)","AOD01","ODU01","H54","15","State","Hawaii"
2013,"Dietary Behaviors","Milk","Milk drinking >= 1 glass","N/A","during the 7 days before the survey",64.9,49.66,77.61,"Drank one or more glasses per day of milk",35.1,22.39,50.34,229,"Female","Black or African American","9th","(42.82700103200045, -75.54397042699964)","DBH01","MLK01","QNMILK1","36","State","New York"
2009,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Injurious physical fighting","Were injured in a physical fight","one or more times during the 12 months before the survey and injuries had to be treated by a doctor or nurse",1.4,0.31,5.99,"Were not injured in a physical fight",98.6,94.01,99.69,168,"Female","White","11th","(39.360700171000474, -111.58713063499971)","UIV01","VIO01","H19","49","State","Utah"
2015,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Riding with a drinking driver","Rode with a driver who had been drinking alcohol","in a car or other vehicle one or more times during the 30 days before the survey",23.1,21.17,25.08,"Did not ride with a driver who had been drinking alcohol",76.9,74.92,78.83,2262,"Male","Total","Total","(47.06652897200047, -109.42442064499971)","UIV01","UIN01","H10","30","State","Montana"
2005,"Dietary Behaviors","Milk","Milk drinking >= 3 glasses","N/A","during the 7 days before the survey",93.6,88.33,96.59,"Drank three or more glasses per day of milk",6.4,3.41,11.67,122,"Female","White","12th","(39.766910452000445, -86.14996019399968)","DBH01","MLK01","QNMILK3","18","State","Indiana"
2001,"Alcohol and Other Drug Use","Other Drug Use","Ever cocaine use","Ever used cocaine","any form of cocaine, such as powder, crack, or freebase, one or more times during their life",8.2,5.54,11.92,"Never used cocaine",91.8,88.08,94.46,390,"Female","Total","12th","(28.932040377000476, -81.92896053899966)","AOD01","ODU01","H50","12","State","Florida"
2003,"Tobacco Use","Cigarette Use","Cigarettes from store","Usually obtained their own cigarettes by buying them in a store or gas station","during the 30 days before the survey, among students who currently smoked cigarettes and who were aged <18 years",17.4,13.44,22.29,"Did not usually obtain their own cigarettes by buying them in a store or gas station",82.6,77.71,86.56,171,"Male","Total","Total","(38.66551020200046, -80.71264013499967)","TUS01","CIG01","H35","54","State","West Virginia"
1999,"Dietary Behaviors","Vegetables","Vegetable eating >=3 times","N/A","green salad, potatoes (excluding French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",90.5,87.93,92.61,"Ate vegetables three or more times per day",9.5,7.39,12.07,525,"Total","Total","11th","(32.84057112200048, -86.63186076199969)","DBH01","VEG01","QNVEG3","01","State","Alabama"
2013,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Texting and driving","Texted or e-mailed while driving a car or other vehicle","on at least 1 day during the 30 days before the survey, among students who had driven a car or other vehicle during the 30 days before the survey",16.9,13.71,20.61,"Did not text or e-mail while driving a car or other vehicle",83.1,79.39,86.29,353,"Total","White","9th","(43.23554134300048, -108.10983035299967)","UIV01","UIN01","H12","56","State","Wyoming"
2015,"Sexual Behaviors","Sexual Behaviors","No birth control use","Did not use any method to prevent pregnancy","during last sexual intercourse, among students who were currently sexually active",8.6,6.88,10.71,"N/A",91.4,89.29,93.12,1196,"Female","Total","Total","(45.254228894000505, -68.98503133599962)","SBH01","SXB01","QNBCNONE","23","State","Maine"
2007,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Physical fighting","Were in a physical fight","one or more times during the 12 months before the survey",44.6,39.56,49.77,"Were not in a physical fight",55.4,50.23,60.44,368,"Total","Hispanic or Latino","9th","(28.932040377000476, -81.92896053899966)","UIV01","VIO01","H18","12","State","Florida"
1995,"Alcohol and Other Drug Use","Alcohol Use","Ever alcohol use","Ever drank alcohol","at least one drink of alcohol on at least 1 day during their life",77.4,70.86,82.77,"Never drank alcohol",22.6,17.23,29.14,146,"Male","Total","10th","(32.745510099000455, -89.53803082499968)","AOD01","ALC01","H41","28","State","Mississippi"
2005,"Tobacco Use","Cigarette Use","Initiation of cigarette use","Smoked a whole cigarette before age 13 years","for the first time",12.9,9.33,17.55,"Did not smoke a whole cigarette before age 13 years",87.1,82.45,90.67,457,"Total","Total","10th","(32.83968109300048, -83.62758034599966)","TUS01","CIG01","H32","13","State","Georgia"
1995,"Sexual Behaviors","Sexual Behaviors","Sex before 13 years","Had sexual intercourse before age 13 years","for the first time",2,0.64,6.2,"Did not have sexual intercourse before age 13 years",98,93.8,99.36,178,"Female","Total","12th","(39.493240390000494, -117.07184056399967)","SBH01","SXB01","H61","32","State","Nevada"
2011,"Alcohol and Other Drug Use","Other Drug Use","Ever prescription drug use","Ever took prescription drugs without a doctor's prescription","such as Oxycontin, Percocet, Vicodin, codeine, Adderall, Ritalin, or Xanax, one or more times during their life",19.6,15.22,24.97,"Never took prescription drugs without a doctor's prescription",80.4,75.03,84.78,598,"Female","Total","Total","(35.47203135600046, -97.52107021399968)","AOD01","ODU01","H57","40","State","Oklahoma"
2013,"Sexual Behaviors","Sexual Behaviors","Condom use","Did not use a condom","during last sexual intercourse, among students who were currently sexually active",54.9,47.4,62.16,"Used a condom",45.1,37.84,52.6,223,"Female","Total","Total","(37.645970271000465, -84.77497104799966)","SBH01","SXB01","H65","21","State","Kentucky"
1997,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Physical fighting","Were in a physical fight","one or more times during the 12 months before the survey",22.4,17.65,28.04,"Were not in a physical fight",77.6,71.96,82.35,452,"Female","Total","11th","(42.82700103200045, -75.54397042699964)","UIV01","VIO01","H18","36","State","New York"
2001,"Physical Activity","Physical Activity","Sports team participation","Did not play on at least one sports team","run by their school or community groups during the 12 months before the survey",44.3,37.45,51.33,"Played on at least one sports team",55.7,48.67,62.55,831,"Total","Hispanic or Latino","9th","(31.827240407000488, -99.42677020599967)","PHA01","PAC01","H84","48","State","Texas"
2001,"Alcohol and Other Drug Use","Other Drug Use","Ever cocaine use","Ever used cocaine","any form of cocaine, such as powder, crack, or freebase, one or more times during their life",7.9,6.32,9.9,"Never used cocaine",92.1,90.1,93.68,1439,"Total","White","Total","(47.47531977900047, -100.11842104899966)","AOD01","ODU01","H50","38","State","North Dakota"
2013,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Physical fighting at school","Were in a physical fight on school property","one or more times during the 12 months before the survey",2.7,1.53,4.62,"Were not in a physical fight on school property",97.3,95.38,98.47,441,"Female","White","11th","(47.06652897200047, -109.42442064499971)","UIV01","VIO01","H20","30","State","Montana"
1999,"Dietary Behaviors","Milk","Milk drinking >= 2 glasses","N/A","during the 7 days before the survey",82.6,71.34,89.99,"Drank two or more glasses per day of milk",17.4,10.01,28.66,132,"Total","Black or African American","10th","(38.635790776000476, -92.56630005299968)","DBH01","MLK01","QNMILK2","29","State","Missouri"
2013,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Safety concerns at school","Did not go to school because they felt unsafe at school or on their way to or from school","on at least 1 day during the 30 days before the survey",4.5,3.38,6.02,"N/A",95.5,93.98,96.62,1777,"Female","White","Total","(37.54268067400045, -78.45789046299967)","UIV01","VIO01","H16","51","State","Virginia"
2005,"Physical Activity","Physical Activity","PE attendance","Did not attend physical education classes on 1 or more days","in an average week when they were in school",17.4,12.56,23.55,"Attended physical education classes on 1 or more days",82.6,76.45,87.44,439,"Total","Total","9th","(38.34774030000045, -98.20078122699965)","PHA01","PAC01","H83","20","State","Kansas"
1999,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Safety concerns at school","Did not go to school because they felt unsafe at school or on their way to or from school","on at least 1 day during the 30 days before the survey",11.5,8.79,14.82,"N/A",88.5,85.18,91.21,638,"Total","Hispanic or Latino","Total","(42.82700103200045, -75.54397042699964)","UIV01","VIO01","H16","36","State","New York"
2007,"Alcohol and Other Drug Use","Alcohol Use","5 or more drinks in a row","Drank five or more drinks of alcohol in a row","within a couple of hours on at least 1 day during the 30 days before the survey",32,25.41,39.4,"Did not drink five or more drinks of alcohol in a row",68,60.6,74.59,379,"Total","Hispanic or Latino","10th","(31.827240407000488, -99.42677020599967)","AOD01","ALC01","H44","48","State","Texas"
1993,"Sexual Behaviors","Sexual Behaviors","Ever sexual intercourse","Ever had sexual intercourse",,34,26.46,42.44,"Never had sexual intercourse",66,57.56,73.54,180,"Male","Total","10th","(21.304850435000446, -157.85774940299973)","SBH01","SXB01","H60","15","State","Hawaii"
2011,"Tobacco Use","Other Tobacco Use","Current smokeless tobacco use","Currently used smokeless tobacco","chewing tobacco, snuff, or dip on at least 1 day during the 30 days before the survey",2.7,1.37,5.34,"Did not currently use smokeless tobacco",97.3,94.66,98.63,287,"Total","White","12th","(39.360700171000474, -111.58713063499971)","TUS01","OTU01","H37","49","State","Utah"
2001,"Alcohol and Other Drug Use","Other Drug Use","Ever methamphetamine use","Ever used methamphetamines","also called ""speed,"" ""crystal,"" ""crank,"" or ""ice,"" one or more times during their life",2.3,0.36,13.21,"Never used methamphetamines",97.7,86.79,99.64,133,"Total","Asian","Total","(31.827240407000488, -99.42677020599967)","AOD01","ODU01","H53","48","State","Texas"
2007,"Sexual Behaviors","Sexual Behaviors","Current sexual activity","Were currently sexually active","had sexual intercourse with at least one person during the 3 months before the survey",46.5,42.6,50.43,"Were not currently sexually active",53.5,49.57,57.4,1181,"Female","Total","Total","(39.008830667000495, -75.57774116799965)","SBH01","SXB01","H63","10","State","Delaware"
2005,"Alcohol and Other Drug Use","Other Drug Use","Ever ecstasy use","Ever used ecstasy","also called ""MDMA,"" one or more times during their life",7.2,4.28,11.73,"Never used ecstasy",92.8,88.27,95.72,312,"Male","Total","9th","(41.56266102000046, -72.64984095199964)","AOD01","ODU01","H54","09","State","Connecticut"
2003,"Alcohol and Other Drug Use","Alcohol Use","Initiation of alcohol use","Drank alcohol before age 13 years","for the first time other than a few sips",18.5,14.89,22.66,"Did not drink alcohol before age 13 years",81.5,77.34,85.11,608,"Total","Total","12th","(44.6613195430005, -84.71439026999968)","AOD01","ALC01","H42","26","State","Michigan"
1995,"Tobacco Use","Cigarette Use","Current daily cigarette use","Currently smoked cigarettes daily","on all 30 days during the 30 days before the survey",16.2,11.2,22.89,"Did not currently smoke cigarettes daily",83.8,77.11,88.8,561,"Female","Total","11th","(42.27687047000046, -72.08269067499964)","TUS01","CIG01","QNDAYCIG","25","State","Massachusetts"
2003,"Alcohol and Other Drug Use","Other Drug Use","Ever cocaine use","Ever used cocaine","any form of cocaine, such as powder, crack, or freebase, one or more times during their life",9.1,5.8,13.97,"Never used cocaine",90.9,86.03,94.2,218,"Male","White","10th","(37.645970271000465, -84.77497104799966)","AOD01","ODU01","H50","21","State","Kentucky"
2001,"Obesity, Overweight, and Weight Control","Weight Control","Perception of weight","Described themselves as slightly or very overweight",,36.5,30.35,43.13,"N/A",63.5,56.87,69.65,236,"Total","White","9th","(32.84057112200048, -86.63186076199969)","OOW01","WTC01","H69","01","State","Alabama"
